,Accuracy,Embed,Label
0,0.8285714285714286,LDVAE,CellType1
1,0.8493506493506493,LDVAE,CellType1
2,0.8632034632034632,LDVAE,CellType1
3,0.8675324675324675,SCANVI,CellType1
4,0.8753246753246753,SCANVI,CellType1
5,0.8701298701298701,SCANVI,CellType1
6,0.8848484848484849,Recon MCML,CellType1
7,0.8779220779220779,Recon MCML,CellType1
8,0.8805194805194805,Recon MCML,CellType1
9,0.6588744588744588,NCA 100% MCML,CellType1
10,0.8649350649350649,NCA-Recon MCML,CellType1
11,0.8666666666666667,NCA-Recon MCML,CellType1
12,0.8926406926406927,NCA-Recon MCML,CellType1
13,0.8935064935064935,LDVAE,Gender2
14,0.8926406926406927,LDVAE,Gender2
15,0.8961038961038961,LDVAE,Gender2
16,0.896969696969697,SCANVI,Gender2
17,0.8935064935064935,SCANVI,Gender2
18,0.8952380952380953,SCANVI,Gender2
19,0.8926406926406927,Recon MCML,Gender2
20,0.8943722943722944,Recon MCML,Gender2
21,0.9047619047619048,Recon MCML,Gender2
22,0.8909090909090909,NCA 100% MCML,Gender2
23,0.90995670995671,NCA-Recon MCML,Gender2
24,0.9047619047619048,NCA-Recon MCML,Gender2
25,0.8926406926406927,NCA-Recon MCML,Gender2
26,0.6493506493506493,NCA 100% MCML,CellType2
27,0.8701298701298701,NCA-Recon MCML,CellType2
28,0.8735930735930736,NCA-Recon MCML,CellType2
29,0.8987012987012987,NCA-Recon MCML,CellType2
30,0.8666666666666667,PCA 50D,CellType1
31,0.8961038961038961,PCA 50D,CellType1
32,0.8805194805194805,PCA 50D,CellType1
33,0.8917748917748918,PCA 50D,Gender2
34,0.9038961038961039,PCA 50D,Gender2
35,0.8813852813852814,PCA 50D,Gender2
36,0.9012987012987013,PCA UMAP Sup.,CellType1
37,0.8735930735930736,PCA UMAP,CellType1
38,0.8441558441558441,PCA t-SNE,CellType1
39,0.8917748917748918,PCA UMAP Sup.,CellType1
40,0.8562770562770563,PCA UMAP,CellType1
41,0.8554112554112554,PCA t-SNE,CellType1
42,0.8640692640692641,PCA UMAP Sup.,CellType1
43,0.8545454545454545,PCA UMAP,CellType1
44,0.8346320346320346,PCA t-SNE,CellType1
45,0.8692640692640693,PCA 100D,CellType1
46,0.8597402597402597,PCA 100D,CellType1
47,0.8857142857142857,PCA 100D,CellType1
